Participant;corr_Duration_ImpactSpeed;corr_Duration_Amplitude;corr_ImpactSpeed_Amplitude
10;-0.372505714;0.497485614;0.609777453
11;0.191226477;0.78723532;0.826427792
12;0.411773932;0.774758088;1.391666511
13;0.098647598;0.559934404;1.105282246
14;-0.479962739;0.303176708;0.520188871
16;-0.380703083;0.40065589;0.700030246
17;-0.084867686;0.351881856;0.951523165
18;0.336759237;1.139357332;0.795584745
19;-0.356934258;-0.022599056;1.113897389
20;-0.371919404;0.03642986;0.754093093
21;-0.024644012;0.574758698;0.528125728
24;0.477858756;0.652943532;1.135056571
25;0.302307101;0.758148196;0.895089524
26;-0.120190708;0.492996888;0.750653006
27;-0.498416019;0.810545962;0.175663296
29;-0.693468002;0.244842535;0.317279656
30;0.082059195;0.594547033;0.950707781
31;0.271496052;0.983376554;0.88058779
32;0.038263461;0.50474453;0.809411852
33;-0.031926643;0.787195764;0.661799323
35;0.417990965;0.970460639;1.07543878
36;0.402333746;0.980972212;1.001975539
37;-0.584716809;-0.111823789;0.983678238
38;-0.087384018;0.240045038;1.100108519
39;0.273728279;0.952936223;0.899041642
40;0.28354745;1.384685236;0.652797238
41;-0.55469281;0.316161311;0.571285409
42;0.0486525;0.515483728;1.017052523
43;0.277220556;1.096828602;0.793375237
44;-0.349579416;0.218699532;0.883052766
45;0.115380395;0.674095675;0.870847831
46;0.074840329;0.319031799;1.268245743
50;-0.598885701;0.248213443;0.441423917
