Sujet;Sujet_name;;Cible;Cible_name;Material;Material_name;Slope;Slope_name;Trial;Trial_name;Trials_All;Duration;Amplitude;Impact_Speed;Spatial_Error
10;sujet10;A;1;25;1;alu;1;m10;1;1;1;0.112;69.69878353;1.387415345;-25.43350032
10;sujet10;A;1;25;1;alu;1;m10;2;2;2;0.136;114.4788794;1.899458348;16.87292402
10;sujet10;A;1;25;1;alu;1;m10;3;3;3;0.124;97.50334535;1.545319647;27.28372659
10;sujet10;A;1;25;1;alu;1;m10;4;4;4;0.152;102.7288619;1.348765944;-11.53672782
10;sujet10;A;1;25;1;alu;1;m10;5;5;5;0.104;81.08746339;1.487562151;-28.1727909
10;sujet10;A;1;25;1;alu;1;m10;6;6;6;0.112;85.67028592;1.479774119;-24.31162954
10;sujet10;A;1;25;1;alu;1;m10;7;7;7;0.144;87.01442813;1.449908743;28.16328051
10;sujet10;A;1;25;1;alu;1;m10;8;8;8;0.168;104.6002912;1.450402848;17.9196043
10;sujet10;A;1;25;1;alu;1;m10;9;9;9;0.164;117.7533899;1.420522145;-18.85407174
10;sujet10;A;1;25;1;alu;1;m10;10;10;10;0.152;125.8244;1.41312385;-45.04757097
10;sujet10;A;1;25;1;alu;2;0;1;1;11;0.088;85.60610469;1.789707253;-25.87080032
10;sujet10;A;1;25;1;alu;2;0;2;2;12;0.128;107.6362017;2.355253628;17.83826497
10;sujet10;A;1;25;1;alu;2;0;3;3;13;0.104;97.21636744;2.043173182;19.35569624
10;sujet10;A;1;25;1;alu;2;0;4;4;14;0.116;105.8009346;1.850252727;-25.10900856
10;sujet10;A;1;25;1;alu;2;0;5;5;15;0.144;124.7512504;1.895148967;17.07697377
10;sujet10;A;1;25;1;alu;2;0;6;6;16;0.132;120.8043515;1.779159058;-26.94441606
10;sujet10;A;1;25;1;alu;2;0;7;7;17;0.184;169.113754;2.196021206;20.17970591
10;sujet10;A;1;25;1;alu;2;0;8;8;18;0.192;148.4431785;2.145103581;-19.41243313
10;sujet10;A;1;25;1;alu;2;0;9;9;19;0.228;207.2718417;2.057735045;14.63078285
10;sujet10;A;1;25;1;alu;2;0;10;10;20;0.156;152.1706145;1.925888465;6.535249116
10;sujet10;A;1;25;1;alu;3;p10;1;1;21;0.096;93.23200529;2.347651862;12.5498745
10;sujet10;A;1;25;1;alu;3;p10;2;2;22;0.136;144.0183861;2.193234757;-5.304868609
10;sujet10;A;1;25;1;alu;3;p10;3;3;23;0.168;139.6521926;2.315206219;12.20063614
10;sujet10;A;1;25;1;alu;3;p10;4;4;24;0.156;126.5432315;2.023788465;-9.003583693
10;sujet10;A;1;25;1;alu;3;p10;5;5;25;0.132;127.2536342;2.250115775;1.338159777
10;sujet10;A;1;25;1;alu;3;p10;6;6;26;0.084;103.2918967;2.572292885;30.26990494
10;sujet10;A;1;25;1;alu;3;p10;7;7;27;0.116;110.7916562;2.265207971;4.762154054
10;sujet10;A;1;25;1;alu;3;p10;8;8;28;0.132;108.0186172;2.101692681;6.468968367
10;sujet10;A;1;25;1;alu;3;p10;9;9;29;0.116;115.7088456;2.293731559;-13.68715449
10;sujet10;A;1;25;1;alu;3;p10;10;10;30;0.096;99.96445982;2.810123247;10.53749366
