Sujet;ST_M;Target;Material;Slope;Trial;Duration;Amplitude;Impact_Speed
10;M;25;alu;0;1;0,088;161,6902708;1,789707253
10;M;25;alu;0;2;0,128;188,5001299;2,355253628
10;M;25;alu;0;3;0,104;173,1877956;2,043173182
10;M;25;alu;0;4;0,116;180,9572872;1,850252727
10;M;25;alu;0;5;0,144;197,3967121;1,895148967
10;M;25;alu;0;6;0,132;194,4898387;1,779159058
10;M;25;alu;0;7;0,184;244,6681699;2,196021206
10;M;25;alu;0;8;0,192;225,3163496;2,145103581
10;M;25;alu;0;9;0,228;282,4199794;2,057735045
10;M;25;alu;0;10;0,156;225,2876812;1,925888465
10;M;25;alu;m10;1;0,112;144,7993269;1,387415345
10;M;25;alu;m10;2;0,136;191,0453217;1,899458348
10;M;25;alu;m10;3;0,124;169,8339261;1,545319647
10;M;25;alu;m10;4;0,152;175,3120158;1,348765944
10;M;25;alu;m10;5;0,104;153,6384623;1,487562151
10;M;25;alu;m10;6;0,112;158,7692027;1,479774119
10;M;25;alu;m10;7;0,144;159,1046726;1,449908743
10;M;25;alu;m10;8;0,168;177,2776769;1,450402848
10;M;25;alu;m10;9;0,164;188,715397;1,420522145
10;M;25;alu;m10;10;0,152;200,8295141;1,41312385
10;M;25;alu;p10;1;0,096;171,7852601;2,347651862
10;M;25;alu;p10;2;0,136;215,6899733;2,193234757
10;M;25;alu;p10;3;0,168;214,5953988;2,315206219
10;M;25;alu;p10;4;0,156;197,6237269;2,023788465
10;M;25;alu;p10;5;0,132;198,9080732;2,250115775
10;M;25;alu;p10;6;0,084;185,9616876;2,572292885
10;M;25;alu;p10;7;0,116;190,3855523;2,265207971
10;M;25;alu;p10;8;0,132;184,0946392;2,101692681
10;M;25;alu;p10;9;0,116;194,9990712;2,293731559
10;M;25;alu;p10;10;0,096;181,0047582;2,810123247
10;M;25;balsa;0;1;0,104;141,3188336;1,916241898
10;M;25;balsa;0;2;0,104;191,3988687;2,363579945
10;M;25;balsa;0;3;0,124;210,9788052;2,129511645
10;M;25;balsa;0;4;0,148;210,2673051;2,40488858
10;M;25;balsa;0;5;0,156;226,2733865;2,544817765
10;M;25;balsa;0;6;0,164;236,9021574;2,316861071
10;M;25;balsa;0;7;0,184;234,6838626;2,519793236
10;M;25;balsa;0;8;0,18;236,9160192;2,370941092
10;M;25;balsa;0;9;0,152;214,8401484;2,311424119
10;M;25;balsa;0;10;0,164;244,2305478;2,330534856
10;M;25;balsa;m10;1;0,108;182,3451605;2,150863377
10;M;25;balsa;m10;2;0,152;208,7844639;2,017826876
10;M;25;balsa;m10;3;0,124;196,3653529;1,796795022
10;M;25;balsa;m10;4;0,156;198,5069938;2,394734775
10;M;25;balsa;m10;5;0,184;203,5549839;1,922212315
10;M;25;balsa;m10;6;0,148;204,9287362;2,092527674
10;M;25;balsa;m10;7;0,104;165,1046097;1,901849964
10;M;25;balsa;m10;8;0,112;178,3828053;1,910103021
10;M;25;balsa;m10;9;0,096;167,1637979;1,748941608
10;M;25;balsa;m10;10;0,152;212,4221869;2,27776974
10;M;25;balsa;p10;1;0,108;192,7009069;2,697663512
10;M;25;balsa;p10;2;0,1;188,1340552;2,473945311
10;M;25;balsa;p10;3;0,12;218,0267826;2,623282739
10;M;25;balsa;p10;4;0,084;201,0983147;2,862239023
10;M;25;balsa;p10;5;0,112;215,3210427;2,805359822
10;M;25;balsa;p10;6;0,136;229,2913532;2,679515837
10;M;25;balsa;p10;7;0,132;217,4880836;2,938090879
10;M;25;balsa;p10;8;0,112;217,868972;3,215607356
10;M;25;balsa;p10;9;0,108;191,0724334;2,556477838
10;M;25;balsa;p10;10;0,12;198,5100765;2,735326485
10;M;50;alu;0;1;0,088;192,3917159;2,863761421
10;M;50;alu;0;2;0,116;219,3443741;2,986423798
10;M;50;alu;0;3;0,116;225,0302562;2,817206583
10;M;50;alu;0;4;0,112;221,7377031;2,866790266
10;M;50;alu;0;5;0,124;236,1337275;3,017427297
10;M;50;alu;0;6;0,112;224,9406812;2,973398489
10;M;50;alu;0;7;0,14;238,2208614;3,171082117
10;M;50;alu;0;8;0,124;221,6329757;2,912650273
10;M;50;alu;0;9;0,116;195,7560604;2,746489284
10;M;50;alu;0;10;0,112;195,5942385;2,760407918
10;M;50;alu;m10;1;0,1;168,858018;2,191811549
10;M;50;alu;m10;2;0,12;187,8319682;2,099669347
10;M;50;alu;m10;3;0,12;193,6959523;2,100259795
10;M;50;alu;m10;4;0,156;231,8039997;1,993821035
10;M;50;alu;m10;5;0,144;196,5467891;2,32702995
10;M;50;alu;m10;6;0,14;207,8547916;2,465925259
10;M;50;alu;m10;7;0,124;190,0655594;2,264384019
10;M;50;alu;m10;8;0,14;223,0868635;2,603250832
10;M;50;alu;m10;9;0,104;200,3070622;2,372855311
10;M;50;alu;m10;10;0,12;213,9481827;2,199914292
10;M;50;alu;p10;1;0,092;205,0792552;2,811472645
10;M;50;alu;p10;2;0,108;205,2255319;3,267418413
10;M;50;alu;p10;3;0,092;249,6543254;3,719986571
10;M;50;alu;p10;4;0,116;260,9845748;3,605068316
10;M;50;alu;p10;5;0,116;272,3516843;3,745188258
10;M;50;alu;p10;6;0,116;233,5215413;3,4994102
10;M;50;alu;p10;7;0,116;247,2741324;3,774264341
10;M;50;alu;p10;8;0,096;212,743985;2,995294032
10;M;50;alu;p10;9;0,116;250,195344;3,404612772
10;M;50;alu;p10;10;0,096;200,8242553;3,245153852
10;M;50;balsa;0;1;0,132;209,7049674;2,711396977
10;M;50;balsa;0;2;0,108;218,1825548;2,66615225
10;M;50;balsa;0;3;0,12;226,6404547;3,23028879
10;M;50;balsa;0;4;0,104;211,8600743;2,98698052
10;M;50;balsa;0;5;0,104;216,8651851;2,946335981
10;M;50;balsa;0;6;0,124;220,8278189;3,015400523
10;M;50;balsa;0;7;0,104;207,3751746;2,918662293
10;M;50;balsa;0;8;0,088;196,0229506;2,872323548
10;M;50;balsa;0;9;0,108;201,9547347;2,894118843
10;M;50;balsa;0;10;0,104;189,7890116;2,6019845
10;M;50;balsa;m10;1;0,116;209,9133519;2,451045163
10;M;50;balsa;m10;2;0,144;231,9267954;2,405762421
10;M;50;balsa;m10;3;0,152;236,337874;2,37723889
10;M;50;balsa;m10;4;0,148;216,0457016;2,113205036
10;M;50;balsa;m10;5;0,12;211,441959;2,294329154
10;M;50;balsa;m10;6;0,116;182,677364;2,12863143
10;M;50;balsa;m10;7;0,132;189,5080359;2,424811302
10;M;50;balsa;m10;8;0,156;191,8248743;1,894154186
10;M;50;balsa;m10;9;0,12;179,5969767;2,30957672
10;M;50;balsa;m10;10;0,14;205,9149578;2,461537909
10;M;50;balsa;p10;1;0,104;198,2855717;3,005190859
10;M;50;balsa;p10;2;0,12;241,7719847;3,496715191
10;M;50;balsa;p10;3;0,092;187,3795323;2,906376446
10;M;50;balsa;p10;4;0,112;220,7542053;2,998976724
10;M;50;balsa;p10;5;0,104;234,3534519;3,461095526
10;M;50;balsa;p10;6;0,116;206,1652979;2,839849622
10;M;50;balsa;p10;7;0,112;203,0667833;2,852619609
10;M;50;balsa;p10;8;0,128;260,0200581;3,393738978
10;M;50;balsa;p10;9;0,128;252,818751;3,377825131
10;M;50;balsa;p10;10;0,128;248,4482751;3,371111019
14;M;25;alu;0;1;0,264;185,3032579;1,524687239
14;M;25;alu;0;2;0,164;214,4721304;1,632618977
14;M;25;alu;0;3;0,188;199,5008152;1,628952487
14;M;25;alu;0;4;0,236;196,8141995;1,620091334
14;M;25;alu;0;5;0,188;180,6143428;1,498227695
14;M;25;alu;0;6;0,18;174,4628642;1,591644686
14;M;25;alu;0;7;0,152;209,8022148;1,600780162
14;M;25;alu;0;8;0,2;210,1502602;1,375634437
14;M;25;alu;0;9;0,18;226,3875769;1,251321352
14;M;25;alu;0;10;0,2;223,0854484;1,619215467
14;M;25;alu;m10;1;0,14;187,8554666;1,576513769
14;M;25;alu;m10;2;0,164;174,9647793;1,510787336
14;M;25;alu;m10;3;0,172;181,006815;1,43354939
14;M;25;alu;m10;4;0,16;169,1703557;1,538671383
14;M;25;alu;m10;5;0,14;148,9063433;1,029238487
14;M;25;alu;m10;6;0,224;152,9559749;1,219771052
14;M;25;alu;m10;7;0,152;148,060713;1,398282813
14;M;25;alu;m10;8;0,14;158,75782;1,258446935
