Participant;Cluster;Measure;Opti_Speed;Mean
10;Cluster1;Amplitude;0.967;98.636
14;Cluster1;Amplitude;0.967;86.684
16;Cluster1;Amplitude;0.967;57.734
19;Cluster1;Amplitude;0.967;72.638
20;Cluster1;Amplitude;0.967;119.379
27;Cluster1;Amplitude;0.967;100.846
29;Cluster1;Amplitude;0.967;102.895
37;Cluster1;Amplitude;0.967;70.328
41;Cluster1;Amplitude;0.967;93.854
44;Cluster1;Amplitude;0.967;91.046
50;Cluster1;Amplitude;0.967;75.252
13;Cluster2;Amplitude;0.967;93.243
17;Cluster2;Amplitude;0.967;86.739
21;Cluster2;Amplitude;0.967;117.982
26;Cluster2;Amplitude;0.967;104.287
30;Cluster2;Amplitude;0.967;47.311
32;Cluster2;Amplitude;0.967;154.246
33;Cluster2;Amplitude;0.967;122.292
38;Cluster2;Amplitude;0.967;112.242
42;Cluster2;Amplitude;0.967;41.738
45;Cluster2;Amplitude;0.967;60.903
46;Cluster2;Amplitude;0.967;84.468
11;Cluster3;Amplitude;0.967;83.212
12;Cluster3;Amplitude;0.967;47.267
18;Cluster3;Amplitude;0.967;56.266
24;Cluster3;Amplitude;0.967;81.178
25;Cluster3;Amplitude;0.967;53.058
31;Cluster3;Amplitude;0.967;100.148
35;Cluster3;Amplitude;0.967;41.286
36;Cluster3;Amplitude;0.967;42.364
39;Cluster3;Amplitude;0.967;63.401
40;Cluster3;Amplitude;0.967;78.637
43;Cluster3;Amplitude;0.967;90.572
10;Cluster1;Duration;0.967;0.137
14;Cluster1;Duration;0.967;0.157
16;Cluster1;Duration;0.967;0.083
19;Cluster1;Duration;0.967;0.188
20;Cluster1;Duration;0.967;0.161
27;Cluster1;Duration;0.967;0.206
29;Cluster1;Duration;0.967;0.181
37;Cluster1;Duration;0.967;0.157
41;Cluster1;Duration;0.967;0.123
44;Cluster1;Duration;0.967;0.148
50;Cluster1;Duration;0.967;0.124
13;Cluster2;Duration;0.967;0.145
17;Cluster2;Duration;0.967;0.143
21;Cluster2;Duration;0.967;0.176
26;Cluster2;Duration;0.967;0.192
30;Cluster2;Duration;0.967;0.075
32;Cluster2;Duration;0.967;0.215
33;Cluster2;Duration;0.967;0.132
38;Cluster2;Duration;0.967;0.143
42;Cluster2;Duration;0.967;0.088
45;Cluster2;Duration;0.967;0.140
46;Cluster2;Duration;0.967;0.124
11;Cluster3;Duration;0.967;0.090
12;Cluster3;Duration;0.967;0.128
