Clusters;Subject;CV_Impact_Speed
Cluster_1;10;22,73259314
Cluster_1;14;25,88704936
Cluster_1;16;23,85104042
Cluster_1;19;26,27477533
Cluster_1;20;22,35446499
Cluster_1;27;30,01185162
Cluster_1;29;23,10946
Cluster_1;37;26,97059905
Cluster_1;41;20,12802595
Cluster_1;44;27,41023699
Cluster_1;50;20,44880529
Cluster_2;13;26,87501666
Cluster_2;17;22,05866013
Cluster_2;21;26,95158916
Cluster_2;26;23,1409015
Cluster_2;30;23,48394731
Cluster_2;32;20,91413283
Cluster_2;33;16,1675995
Cluster_2;38;20,94108521
Cluster_2;42;25,76624803
Cluster_2;45;21,46040327
Cluster_2;46;27,77839934
Cluster_3;11;22,38061348
Cluster_3;12;30,27022586
Cluster_3;18;22,75262042
Cluster_3;24;29,11922823
Cluster_3;25;19,82714488
Cluster_3;31;24,74386586
Cluster_3;35;22,15609413
Cluster_3;36;22,94282688
Cluster_3;39;23,93907324
Cluster_3;40;17,54480253
Cluster_3;43;25,31718206
