Clusters;Subject;CV_Amplitude
Cluster_1;10;12,62763867
Cluster_1;14;12,49112005
Cluster_1;16;15,68411667
Cluster_1;19;19,09706209
Cluster_1;20;14,6428683
Cluster_1;27;27,03291581
Cluster_1;29;14,69863127
Cluster_1;37;13,58131298
Cluster_1;41;12,75933538
Cluster_1;44;14,86751145
Cluster_1;50;13,55803827
Cluster_2;13;23,80143022
Cluster_2;17;20,07136601
Cluster_2;21;19,76714788
Cluster_2;26;22,17747074
Cluster_2;30;16,40754717
Cluster_2;32;20,84529939
Cluster_2;33;14,57071481
Cluster_2;38;22,91945342
Cluster_2;42;20,4777289
Cluster_2;45;17,78404615
Cluster_2;46;20,30890214
Cluster_3;11;20,69226134
Cluster_3;12;24,45710101
Cluster_3;18;33,35656541
Cluster_3;24;29,87067257
Cluster_3;25;21,1365444
Cluster_3;31;28,69977241
Cluster_3;35;20,4947882
Cluster_3;36;22,34802807
Cluster_3;39;21,83686528
Cluster_3;40;26,96435706
Cluster_3;43;21,9814182
