Clusters;Subject;CV_Duration
Cluster_1;10;20,32356766
Cluster_1;14;25,1046738
Cluster_1;16;21,25673061
Cluster_1;19;26,12316029
Cluster_1;20;15,93152001
Cluster_1;27;45,03570719
Cluster_1;29;26,28271626
Cluster_1;37;22,03657519
Cluster_1;41;22,7528896
Cluster_1;44;19,13449556
Cluster_1;50;27,3662601
Cluster_2;13;27,22645039
Cluster_2;17;11,42367174
Cluster_2;21;14,55320175
Cluster_2;26;23,42251879
Cluster_2;30;19,39499113
Cluster_2;32;15,77835089
Cluster_2;33;19,75923133
Cluster_2;38;18,2856908
Cluster_2;42;23,00222769
Cluster_2;45;22,90459577
Cluster_2;46;13,42591641
Cluster_3;11;24,26593992
Cluster_3;12;20,73501597
Cluster_3;18;38,16642176
Cluster_3;24;33,88873617
Cluster_3;25;18,8981154
Cluster_3;31;22,00777008
Cluster_3;35;24,46595964
Cluster_3;36;25,64667246
Cluster_3;39;21,32365454
Cluster_3;40;45,41900254
Cluster_3;43;19,72733801
