Participant;Cluster;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;IS1;IS2;IS3;IS4;IS5;IS6;IS7;IS8;IS9;IS10;IS11;IS12
10;Cluster1;98.636;117.21;131.881;124.836;138.745;116.847;131.247;129.493;136.17;130.64;149;144.254;0.137;0.134;0.147;0.127;0.148;0.123;0.134;0.113;0.116;0.11;0.106;0.114;1.488;2.021;2.004;2.262;2.321;2.317;2.286;2.759;2.912;2.884;3.407;3.17
14;Cluster1;86.684;92.457;129.367;76.898;86.348;125.711;112.371;93.825;123.187;105.849;119.592;129.832;0.157;0.13;0.195;0.111;0.124;0.17;0.123;0.118;0.123;0.096;0.117;0.117;1.381;1.651;1.534;1.77;1.705;2.014;2.4;2.027;2.461;2.723;2.672;2.836
16;Cluster1;57.734;68.43;69.459;66.596;109.147;88.377;72.297;84.918;81.578;109.847;89.377;101.237;0.083;0.09;0.08;0.073;0.117;0.074;0.072;0.079;0.071;0.077;0.069;0.066;1.736;1.745;2.011;1.995;2.077;2.526;2.435;2.267;2.621;3.186;2.87;3.212
19;Cluster1;72.638;73.417;99.6;111.077;106.471;120.499;128.19;115.577;124.529;152.488;145.905;139.994;0.188;0.169;0.173;0.134;0.15;0.15;0.135;0.136;0.146;0.128;0.128;0.122;1.303;1.543;1.76;2.114;1.886;2.049;2.406;2.219;2.56;2.828;2.838;2.894
20;Cluster1;119.379;167.574;170.446;178.992;202.542;218.826;205.679;189.384;200.333;228.818;243.013;240.013;0.161;0.192;0.191;0.172;0.19;0.171;0.178;0.174;0.158;0.146;0.172;0.156;1.869;1.678;2.038;2.39;2.104;2.711;2.559;2.123;2.935;2.906;2.672;3.199
27;Cluster1;100.846;146.284;103.315;119.236;197.582;75.647;104.668;250.477;104.244;129.239;160.206;119.805;0.206;0.228;0.188;0.183;0.242;0.112;0.118;0.249;0.108;0.132;0.11;0.104;1.273;1.59;1.85;1.748;1.91;1.901;2.345;2.249;2.516;2.88;3.357;3.134
29;Cluster1;102.895;137.768;141.244;132.392;190.141;171.359;141.988;188.45;192.417;172.55;179.284;158.92;0.181;0.151;0.222;0.129;0.206;0.176;0.122;0.19;0.171;0.138;0.138;0.124;1.665;2.367;1.907;2.547;2.33;2.22;3.133;2.423;2.864;3.125;3.107;3.605
37;Cluster1;70.328;76.348;56.824;83.061;76.318;74.522;93.139;80.188;84.426;100.359;105.575;110.124;0.157;0.111;0.128;0.125;0.117;0.132;0.117;0.1;0.096;0.096;0.102;0.092;1.351;1.994;1.321;1.909;1.727;1.72;2.493;2.072;2.428;2.747;2.554;2.952
41;Cluster1;93.854;111.461;90.476;118.121;102.118;72.192;153.54;107.201;135.924;103.496;115.766;112.851;0.123;0.112;0.108;0.087;0.106;0.078;0.127;0.098;0.088;0.07;0.071;0.088;2.203;2.507;2.435;3.1;2.814;2.684;3.163;2.973;3.933;3.585;3.793;3.605
44;Cluster1;91.046;108.044;100.98;127.976;136.089;110.056;142.997;132.586;162.437;149.276;142.428;146.005;0.148;0.139;0.14;0.141;0.156;0.142;0.124;0.16;0.148;0.121;0.118;0.122;1.556;1.906;1.853;2.311;2.18;1.923;2.923;2.41;2.962;3.184;3.192;3.397
